
Genesis
                        18:20      3.17.5
                        18:20;17:21      3.17.14
                        18:21;17:22      3.17.14
                        18:23;17:24      3.17.14
                        18:27;17:28      3.12.6
                        18:30, cf Comm      3.2.15
                        19:1      3.5.8
                        19:1-2p      1.6.4
                        19:2ff      1.5.1
                        19:7;18:8      1.9.3
                        19:7-8;18:8-9      1.6.4
                        19:7-8;18:8-9      2.7.12
                        19:7ff      4.8.6
                        19:12p      3.4.16
                        19:12      3.4.18
                        19:12;18:13      3.17.2
                        20:3p, cf Comm      3.20.18
                        29:10, cf Comm Ps. 29:10      2.6.2
                        21      4.20.5
                        22      4.20.5
                        22:1      2.16.11
                        22:2      3.20.51
                        22:4-5;21:5-6      3.20.26
                        22:6      1.1.3
                        22:25      4.13.4
                        23:1      3.13.5
                        23:4;22:4      1.17.11
                        23:4;22:4      3.2.21
                        23:4;22:4      3.2.28
                        23:4      3.13.5
                        23:6      2.3.12
                        24:3-4      3.6.2
                        24:4;23:4      3.17.6
                        24:4      3.24.8
                        24:6;23:6      3.24.8
                        25:1;24:1      3.20.5
                        25:7      3.3.18
                        25:7      3.20.9
                        25:8-9      1.10.2
                        25:10      1.10.2
                        25:10 Comm      3.2.7
                        25:10      3.17.2
                        25:11;24:11      3.17.2
                        25:12      3.17.2
                        25:18p      3.20.9
